,Unnamed: 0,Timestamp,State,MW,ANX
0,0,16:41:16,0,1.0,1.0
1,1,16:41:17,0,1.0,1.0
2,2,16:41:18,0,1.0,1.0
3,3,16:41:19,0,1.0,1.0
4,4,16:41:20,0,1.0,1.0
5,5,16:41:21,0,1.0,1.0
6,6,16:41:22,0,1.0,1.0
7,7,16:41:23,0,1.0,1.0
8,8,16:41:24,0,1.0,1.0
9,9,16:41:25,0,1.0,1.0
10,10,16:41:26,0,1.0,1.0
11,11,16:41:27,0,1.0,1.0
12,12,16:41:28,0,1.0,1.0
13,13,16:41:29,0,1.0,1.0
14,14,16:41:30,0,1.0,1.0
15,15,16:41:31,0,1.0,1.0
16,16,16:41:32,0,1.0,1.0
17,17,16:41:33,0,1.0,1.0
18,18,16:41:34,0,1.0,1.0
19,19,16:41:35,0,1.0,1.0
20,20,16:41:36,0,1.0,1.0
21,21,16:41:37,0,1.0,1.0
22,22,16:41:38,0,1.0,1.0
23,23,16:41:39,0,1.0,1.0
24,24,16:41:40,0,1.0,1.0
25,25,16:41:41,0,1.0,1.0
26,26,16:41:42,0,1.0,1.0
27,27,16:41:43,0,1.0,1.0
28,28,16:41:44,0,1.0,1.0
29,29,16:41:45,0,1.0,1.0
30,30,16:41:46,0,1.0,1.0
31,31,16:41:47,1,1.0,1.0
32,32,16:41:48,1,1.0,1.0
33,33,16:41:49,0,1.0,1.0
34,34,16:41:50,0,1.0,1.0
35,35,16:41:51,0,1.0,1.0
36,36,16:41:52,0,1.0,1.0
37,37,16:41:53,0,2.0,1.0
38,38,16:41:54,0,1.0,1.0
39,39,16:41:55,0,1.0,1.0
40,40,16:41:56,0,1.0,1.0
41,41,16:41:57,0,1.0,1.0
42,42,16:41:58,0,1.0,1.0
43,43,16:41:59,1,1.0,1.0
44,44,16:42:00,1,1.0,1.0
45,45,16:42:01,1,1.0,2.0
46,46,16:42:02,1,1.0,1.0
47,47,16:42:03,1,1.0,1.0
48,48,16:42:04,1,1.0,1.0
49,49,16:42:05,1,1.0,2.0
50,50,16:42:06,1,1.0,2.0
51,51,16:42:07,1,1.0,1.0
52,52,16:42:08,1,1.0,1.0
53,53,16:42:09,1,1.0,2.0
54,54,16:42:10,1,1.0,1.0
55,55,16:42:11,1,1.0,1.0
56,56,16:42:12,1,1.0,1.0
57,57,16:42:13,1,1.0,2.0
58,58,16:42:14,1,1.0,1.0
59,59,16:42:15,1,1.0,1.0
60,60,16:42:16,1,1.0,1.0
61,61,16:42:17,1,1.0,2.0
62,62,16:42:18,1,1.0,1.0
63,63,16:42:19,1,1.0,1.0
64,64,16:42:20,1,1.0,1.0
65,65,16:42:21,1,1.0,1.0
66,66,16:42:22,1,1.0,1.0
67,67,16:42:23,1,1.0,1.0
68,68,16:42:24,1,1.0,1.0
69,69,16:42:25,1,1.0,2.0
70,70,16:42:26,1,1.0,1.0
71,71,16:42:27,1,1.0,1.0
72,72,16:42:28,1,1.0,1.0
73,73,16:42:29,1,2.0,1.0
74,74,16:42:30,0,2.0,1.0
75,75,16:42:31,0,1.0,1.0
76,76,16:42:32,0,1.0,1.0
77,77,16:42:33,0,1.0,1.0
78,78,16:42:34,0,2.0,2.0
79,79,16:42:35,0,1.0,1.0
80,80,16:42:36,0,1.0,1.0
81,81,16:42:37,0,1.0,1.0
82,82,16:42:38,0,3.0,2.0
83,83,16:42:39,0,1.0,2.0
84,84,16:42:40,0,1.0,1.0
85,85,16:42:41,0,2.0,2.0
86,86,16:42:42,0,2.0,2.0
87,87,16:42:43,0,2.0,2.0
88,88,16:42:44,0,2.0,1.0
89,89,16:42:45,0,2.0,2.0
90,90,16:42:46,0,2.0,2.0
91,91,16:42:47,0,3.0,2.0
92,92,16:42:48,0,1.0,2.0
93,93,16:42:49,0,3.0,2.0
94,94,16:42:50,0,2.0,2.0
95,95,16:42:51,0,1.0,2.0
96,96,16:42:52,0,1.0,2.0
97,97,16:42:53,0,2.0,2.0
98,98,16:42:54,0,2.0,2.0
99,99,16:42:55,0,1.0,2.0
100,100,16:42:56,0,1.0,2.0
101,101,16:42:57,0,2.0,2.0
102,102,16:42:58,0,2.0,2.0
103,103,16:42:59,0,2.0,2.0
104,104,16:43:00,0,2.0,2.0
105,105,16:43:01,0,2.0,2.0
106,106,16:43:02,0,2.0,1.0
107,107,16:43:03,0,3.0,2.0
108,108,16:43:04,0,2.0,2.0
109,109,16:43:05,0,3.0,2.0
110,110,16:43:06,0,3.0,2.0
111,111,16:43:07,0,3.0,1.0
112,112,16:43:08,0,2.0,2.0
113,113,16:43:09,0,3.0,2.0
114,114,16:43:10,0,3.0,2.0
115,115,16:43:11,0,2.0,2.0
116,116,16:43:12,0,2.0,2.0
117,117,16:43:13,0,2.0,1.0
118,118,16:43:14,1,3.0,2.0
119,119,16:43:15,1,3.0,2.0
120,120,16:43:16,0,2.0,1.0
121,121,16:43:17,0,2.0,1.0
122,122,16:43:18,1,2.0,2.0
123,123,16:43:19,0,2.0,1.0
124,124,16:43:20,0,3.0,2.0
125,125,16:43:21,0,2.0,2.0
126,126,16:43:22,0,2.0,1.0
127,127,16:43:23,0,2.0,1.0
128,128,16:43:24,0,2.0,1.0
129,129,16:43:25,0,2.0,2.0
130,130,16:43:26,0,2.0,2.0
131,131,16:43:27,0,2.0,2.0
132,132,16:43:28,0,2.0,2.0
133,133,16:43:29,0,2.0,1.0
134,134,16:43:30,0,2.0,1.0
135,135,16:43:31,0,2.0,2.0
136,136,16:43:32,0,3.0,2.0
137,137,16:43:33,0,1.0,2.0
138,138,16:43:34,1,2.0,1.0
139,139,16:43:35,1,2.0,1.0
140,140,16:43:36,1,2.0,1.0
141,141,16:43:37,1,2.0,2.0
142,142,16:43:38,1,3.0,2.0
143,143,16:43:39,1,2.0,2.0
144,144,16:43:40,1,2.0,1.0
145,145,16:43:41,1,2.0,1.0
146,146,16:43:42,1,2.0,1.0
147,147,16:43:43,1,2.0,1.0
148,148,16:43:44,1,2.0,1.0
149,149,16:43:45,1,2.0,2.0
150,150,16:43:46,1,2.0,2.0
151,151,16:43:47,1,2.0,1.0
152,152,16:43:48,0,2.0,1.0
